sales_id,expected_dt,label_ae
3630,2025-01-09,0
5986,2024-09-11,0
7036,2025-05-28,0
628,2025-01-09,0
6352,2024-11-30,0
8271,2025-04-13,1
1206,2025-02-24,0
7339,2024-08-02,0
4267,2025-01-09,0
2670,2025-04-08,0
615,2024-08-26,0
3774,2024-11-20,0
5977,2025-01-20,0
5839,2025-06-14,0
7337,2024-10-09,0
6867,2024-10-09,0
8438,2024-08-16,0
9896,2024-12-13,0
4422,2024-10-23,0
7598,2025-01-07,1
4568,2025-06-26,0
2864,2024-10-28,0
3435,2024-12-21,0
1630,2025-06-25,0
7539,2024-09-22,0
6761,2024-10-27,0
7010,2025-01-22,0
5414,2024-08-28,0
9814,2025-04-23,1
2409,2025-05-10,0
4107,2025-03-07,0
7799,2025-02-24,0
1831,2025-05-17,1
9130,2024-10-29,0
529,2025-01-21,0
2623,2024-08-13,0
5118,2025-02-01,0
8355,2025-02-19,0
9890,2024-08-30,0
5454,2025-05-12,0
4570,2024-08-25,0
4242,2024-09-06,0
2838,2024-07-15,0
5422,2025-02-06,1
5473,2025-03-09,0
2965,2025-06-05,0
2982,2025-03-07,0
2983,2025-04-04,0
1407,2024-08-27,0
8987,2024-12-02,0
9110,2024-09-26,0
6070,2025-05-23,0
2206,2025-01-20,0
3970,2025-01-16,1
7147,2025-01-24,0
1387,2025-06-13,0
971,2025-06-04,0
4791,2025-03-17,1
8455,2024-12-25,0
9519,2025-06-27,0
9549,2025-05-19,1
1060,2024-09-05,0
8043,2025-06-26,0
1267,2024-07-25,0
3293,2025-04-25,0
7079,2024-07-10,1
7289,2024-10-19,0
3482,2024-11-22,0
7791,2025-04-12,0
2859,2025-04-20,0
400,2025-06-03,0
5861,2025-02-02,0
4514,2024-08-31,0
193,2024-12-29,0
505,2025-06-15,0
5055,2024-12-03,0
2533,2024-12-12,0
2816,2025-02-07,0
9052,2024-09-04,0
1577,2024-10-21,0
6932,2024-07-15,0
410,2024-12-30,0
8983,2025-05-22,0
6519,2025-05-14,0
6596,2025-04-19,0
4936,2025-04-03,0
7784,2025-04-20,0
4206,2025-04-28,0
9556,2024-07-28,0
6247,2024-07-27,0
1434,2024-11-19,0
6115,2024-08-13,0
8566,2025-05-25,0
8005,2024-11-28,0
9623,2025-06-16,0
5165,2024-08-14,1
1647,2025-04-14,0
6786,2025-03-13,0
4067,2025-01-03,1
2529,2024-09-03,1
7814,2024-07-13,0
1801,2024-10-26,0
427,2024-08-02,0
7599,2025-01-29,1
9501,2024-08-12,0
3219,2025-06-14,0
2494,2025-01-01,0
4379,2025-06-05,0
2382,2025-04-18,0
7021,2024-12-11,0
1989,2024-10-06,0
7249,2024-08-28,0
8687,2024-07-06,0
2442,2025-05-25,0
7462,2025-03-04,0
9387,2025-04-09,0
2367,2024-09-10,0
9206,2025-03-26,0
1272,2025-06-13,0
237,2024-10-26,0
8500,2025-05-07,0
7421,2024-12-05,0
9809,2025-02-14,0
5505,2025-02-07,0
8763,2024-09-16,0
5247,2025-04-22,0
6358,2024-08-28,0
8559,2025-06-15,0
6744,2024-11-02,0
5338,2024-09-08,0
9013,2025-03-21,0
5339,2025-04-29,1
1501,2024-07-24,0
5280,2024-12-07,1
4093,2024-07-08,0
6273,2025-03-22,0
5515,2025-01-21,0
8804,2024-07-15,0
844,2025-04-24,0
3138,2024-08-21,0
7561,2025-02-12,0
5757,2024-12-18,0
2549,2024-08-07,0
6350,2025-01-08,0
6600,2024-10-18,0
7798,2025-05-14,0
1509,2024-08-16,0
8620,2024-12-24,1
9335,2024-09-30,0
3290,2025-03-06,0
3467,2025-04-10,0
1158,2025-03-10,0
1998,2025-04-09,0
7364,2024-09-27,0
2913,2025-05-22,1
1639,2025-06-21,0
14,2025-05-14,0
6062,2025-06-06,0
1994,2024-10-16,1
2907,2024-11-08,0
